Trace,Exp,Core_0_IPC,Filter
403.gcc-16B,nopref,0.37795,1
403.gcc-16B,spp,0.48323,1
403.gcc-16B,bingo,0.59126,1
403.gcc-16B,mlop,0.54099,1
403.gcc-16B,pythia,0.55138,1
403.gcc-16B,nopref_MTPS150,0.18986,1
403.gcc-16B,spp_MTPS150,0.18833,1
403.gcc-16B,bingo_MTPS150,0.14484,1
403.gcc-16B,mlop_MTPS150,0.17187,1
403.gcc-16B,pythia_MTPS150,0.17631,1
403.gcc-16B,nopref_MTPS300,0.28097,1
403.gcc-16B,spp_MTPS300,0.30328,1
403.gcc-16B,bingo_MTPS300,0.25684,1
403.gcc-16B,mlop_MTPS300,0.29684,1
403.gcc-16B,pythia_MTPS300,0.30332,1
403.gcc-16B,nopref_MTPS600,0.33542,1
403.gcc-16B,spp_MTPS600,0.40016,1
403.gcc-16B,bingo_MTPS600,0.39833,1
403.gcc-16B,mlop_MTPS600,0.42361,1
403.gcc-16B,pythia_MTPS600,0.43116,1
403.gcc-16B,nopref_MTPS1200,0.36554,1
403.gcc-16B,spp_MTPS1200,0.45867,1
403.gcc-16B,bingo_MTPS1200,0.52824,1
403.gcc-16B,mlop_MTPS1200,0.50535,1
403.gcc-16B,pythia_MTPS1200,0.51425,1
403.gcc-16B,nopref_MTPS4800,0.38272,1
403.gcc-16B,spp_MTPS4800,0.49313,1
403.gcc-16B,bingo_MTPS4800,0.61368,1
403.gcc-16B,mlop_MTPS4800,0.55436,1
403.gcc-16B,pythia_MTPS4800,0.56733,1
403.gcc-16B,nopref_MTPS9600,0.38423,1
403.gcc-16B,spp_MTPS9600,0.49512,1
403.gcc-16B,bingo_MTPS9600,0.61685,1
403.gcc-16B,mlop_MTPS9600,0.55718,1
403.gcc-16B,pythia_MTPS9600,0.57786,1
410.bwaves-1963B,nopref,0.57958,0
410.bwaves-1963B,spp,1.11796,0
410.bwaves-1963B,bingo,0.99482,0
410.bwaves-1963B,mlop,1.13953,0
410.bwaves-1963B,pythia,1.13105,0
410.bwaves-1963B,nopref_MTPS150,0.21889,0
410.bwaves-1963B,spp_MTPS150,0.24242,0
410.bwaves-1963B,bingo_MTPS150,0.23678,0
410.bwaves-1963B,mlop_MTPS150,0.24349,0
410.bwaves-1963B,pythia_MTPS150,0.24277,0
410.bwaves-1963B,nopref_MTPS300,0.35845,0
410.bwaves-1963B,spp_MTPS300,0.47972,0
410.bwaves-1963B,bingo_MTPS300,0.41857,0
410.bwaves-1963B,mlop_MTPS300,0.4699,0
410.bwaves-1963B,pythia_MTPS300,0,0
410.bwaves-1963B,nopref_MTPS600,0.50064,0
