Trace,Exp,Core_0_IPC,Core_1_IPC,Core_2_IPC,Core_3_IPC,Filter
403.gcc-16B_4T,nopref,0,0,0,0,0
403.gcc-16B_4T,spp,0,0,0,0,0
403.gcc-16B_4T,bingo,0,0,0,0,0
403.gcc-16B_4T,mlop,0,0,0,0,0
403.gcc-16B_4T,pythia,0,0,0,0,0
410.bwaves-1963B_4T,nopref,0,0,0,0,0
410.bwaves-1963B_4T,spp,0,0,0,0,0
410.bwaves-1963B_4T,bingo,0,0,0,0,0
410.bwaves-1963B_4T,mlop,0,0,0,0,0
410.bwaves-1963B_4T,pythia,0,0,0,0,0
429.mcf-184B_4T,nopref,0,0,0,0,0
429.mcf-184B_4T,spp,0,0,0,0,0
429.mcf-184B_4T,bingo,0,0,0,0,0
429.mcf-184B_4T,mlop,0,0,0,0,0
429.mcf-184B_4T,pythia,0,0,0,0,0
429.mcf-192B_4T,nopref,0,0,0,0,0
429.mcf-192B_4T,spp,0,0,0,0,0
429.mcf-192B_4T,bingo,0,0,0,0,0
429.mcf-192B_4T,mlop,0,0,0,0,0
429.mcf-192B_4T,pythia,0,0,0,0,0
429.mcf-51B_4T,nopref,0,0,0,0,0
429.mcf-51B_4T,spp,0,0,0,0,0
429.mcf-51B_4T,bingo,0,0,0,0,0
429.mcf-51B_4T,mlop,0,0,0,0,0
429.mcf-51B_4T,pythia,0,0,0,0,0
433.milc-127B_4T,nopref,0,0,0,0,0
433.milc-127B_4T,spp,0,0,0,0,0
433.milc-127B_4T,bingo,0,0,0,0,0
433.milc-127B_4T,mlop,0,0,0,0,0
433.milc-127B_4T,pythia,0,0,0,0,0
436.cactusADM-1804B_4T,nopref,0,0,0,0,0
436.cactusADM-1804B_4T,spp,0,0,0,0,0
436.cactusADM-1804B_4T,bingo,0,0,0,0,0
436.cactusADM-1804B_4T,mlop,0,0,0,0,0
436.cactusADM-1804B_4T,pythia,0,0,0,0,0
437.leslie3d-149B_4T,nopref,0,0,0,0,0
437.leslie3d-149B_4T,spp,0,0,0,0,0
437.leslie3d-149B_4T,bingo,0,0,0,0,0
437.leslie3d-149B_4T,mlop,0,0,0,0,0
437.leslie3d-149B_4T,pythia,0,0,0,0,0
437.leslie3d-232B_4T,nopref,0,0,0,0,0
437.leslie3d-232B_4T,spp,0,0,0,0,0
437.leslie3d-232B_4T,bingo,0,0,0,0,0
437.leslie3d-232B_4T,mlop,0,0,0,0,0
437.leslie3d-232B_4T,pythia,0,0,0,0,0
437.leslie3d-265B_4T,nopref,0,0,0,0,0
437.leslie3d-265B_4T,spp,0,0,0,0,0
437.leslie3d-265B_4T,bingo,0,0,0,0,0
437.leslie3d-265B_4T,mlop,0,0,0,0,0
437.leslie3d-265B_4T,pythia,0,0,0,0,0
437.leslie3d-271B_4T,nopref,0,0,0,0,0
437.leslie3d-271B_4T,spp,0,0,0,0,0
437.leslie3d-271B_4T,bingo,0,0,0,0,0
437.leslie3d-271B_4T,mlop,0,0,0,0,0
437.leslie3d-271B_4T,pythia,0,0,0,0,0
445.gobmk-30B_4T,nopref,0,0,0,0,0
445.gobmk-30B_4T,spp,0,0,0,0,0
445.gobmk-30B_4T,bingo,0,0,0,0,0
445.gobmk-30B_4T,mlop,0,0,0,0,0
445.gobmk-30B_4T,pythia,0,0,0,0,0
445.gobmk-36B_4T,nopref,0,0,0,0,0
445.gobmk-36B_4T,spp,0,0,0,0,0
445.gobmk-36B_4T,bingo,0,0,0,0,0
445.gobmk-36B_4T,mlop,0,0,0,0,0
445.gobmk-36B_4T,pythia,0,0,0,0,0
450.soplex-247B_4T,nopref,0,0,0,0,0
450.soplex-247B_4T,spp,0,0,0,0,0
450.soplex-247B_4T,bingo,0,0,0,0,0
450.soplex-247B_4T,mlop,0,0,0,0,0
450.soplex-247B_4T,pythia,0,0,0,0,0
459.GemsFDTD-1211B_4T,nopref,0,0,0,0,0
459.GemsFDTD-1211B_4T,spp,0,0,0,0,0
459.GemsFDTD-1211B_4T,bingo,0,0,0,0,0
459.GemsFDTD-1211B_4T,mlop,0,0,0,0,0
459.GemsFDTD-1211B_4T,pythia,0,0,0,0,0
459.GemsFDTD-1418B_4T,nopref,0,0,0,0,0
459.GemsFDTD-1418B_4T,spp,0,0,0,0,0
459.GemsFDTD-1418B_4T,bingo,0,0,0,0,0
459.GemsFDTD-1418B_4T,mlop,0,0,0,0,0
459.GemsFDTD-1418B_4T,pythia,0,0,0,0,0
459.GemsFDTD-765B_4T,nopref,0,0,0,0,0
459.GemsFDTD-765B_4T,spp,0,0,0,0,0
459.GemsFDTD-765B_4T,bingo,0,0,0,0,0
459.GemsFDTD-765B_4T,mlop,0,0,0,0,0
459.GemsFDTD-765B_4T,pythia,0,0,0,0,0
462.libquantum-1343B_4T,nopref,0,0,0,0,0
462.libquantum-1343B_4T,spp,0,0,0,0,0
462.libquantum-1343B_4T,bingo,0,0,0,0,0
462.libquantum-1343B_4T,mlop,0,0,0,0,0
462.libquantum-1343B_4T,pythia,0,0,0,0,0
462.libquantum-714B_4T,nopref,0,0,0,0,0
462.libquantum-714B_4T,spp,0,0,0,0,0
462.libquantum-714B_4T,bingo,0,0,0,0,0
462.libquantum-714B_4T,mlop,0,0,0,0,0
462.libquantum-714B_4T,pythia,0,0,0,0,0
470.lbm-1274B_4T,nopref,0,0,0,0,0
470.lbm-1274B_4T,spp,0,0,0,0,0
470.lbm-1274B_4T,bingo,0,0,0,0,0
470.lbm-1274B_4T,mlop,0,0,0,0,0
470.lbm-1274B_4T,pythia,0,0,0,0,0
471.omnetpp-188B_4T,nopref,0,0,0,0,0
471.omnetpp-188B_4T,spp,0,0,0,0,0
471.omnetpp-188B_4T,bingo,0,0,0,0,0
471.omnetpp-188B_4T,mlop,0,0,0,0,0
471.omnetpp-188B_4T,pythia,0,0,0,0,0
473.astar-359B_4T,nopref,0,0,0,0,0
473.astar-359B_4T,spp,0,0,0,0,0
473.astar-359B_4T,bingo,0,0,0,0,0
473.astar-359B_4T,mlop,0,0,0,0,0
473.astar-359B_4T,pythia,0,0,0,0,0
481.wrf-1254B_4T,nopref,0,0,0,0,0
481.wrf-1254B_4T,spp,0,0,0,0,0
481.wrf-1254B_4T,bingo,0,0,0,0,0
481.wrf-1254B_4T,mlop,0,0,0,0,0
481.wrf-1254B_4T,pythia,0,0,0,0,0
481.wrf-196B_4T,nopref,0,0,0,0,0
481.wrf-196B_4T,spp,0,0,0,0,0
481.wrf-196B_4T,bingo,0,0,0,0,0
481.wrf-196B_4T,mlop,0,0,0,0,0
481.wrf-196B_4T,pythia,0,0,0,0,0
481.wrf-816B_4T,nopref,0,0,0,0,0
481.wrf-816B_4T,spp,0,0,0,0,0
481.wrf-816B_4T,bingo,0,0,0,0,0
481.wrf-816B_4T,mlop,0,0,0,0,0
481.wrf-816B_4T,pythia,0,0,0,0,0
482.sphinx3-1297B_4T,nopref,0,0,0,0,0
482.sphinx3-1297B_4T,spp,0,0,0,0,0
482.sphinx3-1297B_4T,bingo,0,0,0,0,0
482.sphinx3-1297B_4T,mlop,0,0,0,0,0
482.sphinx3-1297B_4T,pythia,0,0,0,0,0
482.sphinx3-1395B_4T,nopref,0,0,0,0,0
482.sphinx3-1395B_4T,spp,0,0,0,0,0
482.sphinx3-1395B_4T,bingo,0,0,0,0,0
482.sphinx3-1395B_4T,mlop,0,0,0,0,0
482.sphinx3-1395B_4T,pythia,0,0,0,0,0
483.xalancbmk-127B_4T,nopref,0,0,0,0,0
483.xalancbmk-127B_4T,spp,0,0,0,0,0
483.xalancbmk-127B_4T,bingo,0,0,0,0,0
483.xalancbmk-127B_4T,mlop,0,0,0,0,0
483.xalancbmk-127B_4T,pythia,0,0,0,0,0
602.gcc_s-1850B_4T,nopref,0,0,0,0,0
602.gcc_s-1850B_4T,spp,0,0,0,0,0
602.gcc_s-1850B_4T,bingo,0,0,0,0,0
602.gcc_s-1850B_4T,mlop,0,0,0,0,0
602.gcc_s-1850B_4T,pythia,0,0,0,0,0
602.gcc_s-734B_4T,nopref,0,0,0,0,0
602.gcc_s-734B_4T,spp,0,0,0,0,0
602.gcc_s-734B_4T,bingo,0,0,0,0,0
602.gcc_s-734B_4T,mlop,0,0,0,0,0
602.gcc_s-734B_4T,pythia,0,0,0,0,0
603.bwaves_s-2931B_4T,nopref,0,0,0,0,0
603.bwaves_s-2931B_4T,spp,0,0,0,0,0
603.bwaves_s-2931B_4T,bingo,0,0,0,0,0
603.bwaves_s-2931B_4T,mlop,0,0,0,0,0
603.bwaves_s-2931B_4T,pythia,0,0,0,0,0
605.mcf_s-994B_4T,nopref,0,0,0,0,0
